epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.339,1.4881,2.3171,1.85668,1.7231,0.53008,0.42078,0.39227,0.17602,0.4244,0.38095,0.25424,0.05577,2.17309,8.80657,7.36091,2.69577,0.000665037,0.000665037,0.000665037
2,403.562,1.65696,2.16407,1.60145,1.83604,0.13753,0.4127,0.12844,0.04552,0.0625,0.29365,0.04908,0.00928,2.46336,7.24905,6.05701,2.85764,0.00132951,0.00132951,0.00132951
3,669.445,1.60935,2.16358,1.58196,1.869,0.10881,0.25397,0.04329,0.01409,0.09521,0.17789,0.03066,0.00789,2.88379,4.73555,5.90041,3.21497,0.00199178,0.00199178,0.00199178
4,938.632,1.66333,2.09928,1.44059,1.88969,0.83941,0.41487,0.50275,0.27366,0.76486,0.36508,0.40939,0.12798,1.96088,4.56265,6.88115,2.2769,0.0019901,0.0019901,0.0019901
5,1182.4,1.56684,2.06166,1.4316,1.72468,0.24374,0.02381,0.02615,0.00663,0.07713,0.00794,0.00303,0.00074,3.50765,4.73808,4.77595,3.57065,0.0019868,0.0019868,0.0019868
6,1322.68,1.4672,1.84978,1.24655,1.67318,0.59506,0.46825,0.49452,0.23903,0.60067,0.46032,0.49579,0.21209,1.88565,3.23568,6.04353,2.17515,0.0019835,0.0019835,0.0019835
7,1540.65,1.29078,1.85202,1.1586,1.54205,0.17187,0.09524,0.06635,0.03295,0.11458,0.06349,0.04362,0.01191,2.34872,8.63284,4.54973,2.71979,0.0019802,0.0019802,0.0019802
8,1716.38,1.23493,1.71623,1.02969,1.50517,0.45846,0.11905,0.16265,0.10026,0.51799,0.11111,0.13026,0.03451,2.08334,5.33833,3.89845,2.39828,0.0019769,0.0019769,0.0019769
9,1857,1.19563,1.68148,0.92,1.44588,0.60878,0.39683,0.45128,0.28382,0.60878,0.39683,0.41507,0.12487,1.65538,4.56456,5.30054,1.91442,0.0019736,0.0019736,0.0019736
10,1998.02,1.2371,1.66699,0.89949,1.51846,0.53769,0.2619,0.28961,0.0842,0.01281,0.20635,0.00943,0.00319,2.77727,6.39145,8.25981,3.13788,0.0019703,0.0019703,0.0019703
11,2290.65,1.11555,1.64304,0.88001,1.3974,0.73623,0.77535,0.792,0.49764,0.71375,0.75201,0.76915,0.37461,1.49653,2.48885,1.24227,1.82904,0.001967,0.001967,0.001967
12,2478.76,1.11963,1.75159,0.89939,1.36814,0.62871,0.4127,0.51269,0.36757,0.62871,0.4127,0.50782,0.26921,1.45018,2.79297,6.33265,1.75067,0.0019637,0.0019637,0.0019637
13,2722.81,1.03914,1.65301,0.82498,1.32185,0.74197,0.48413,0.49436,0.30994,0.73628,0.44318,0.46,0.21737,1.99013,3.71173,2.26532,2.45596,0.0019604,0.0019604,0.0019604
14,2975.02,1.11773,1.65621,0.84706,1.39229,0.8586,0.66667,0.76842,0.47828,0.83816,0.65079,0.71947,0.32479,1.55272,3.10424,1.44568,1.92792,0.0019571,0.0019571,0.0019571
15,3288.4,1.07955,1.58495,0.80906,1.37283,0.84949,0.55556,0.71196,0.41656,0.84949,0.55556,0.6939,0.30104,1.72597,3.00107,2.08517,2.06684,0.0019538,0.0019538,0.0019538
16,3454.43,1.06421,1.67345,0.82309,1.36349,0.69507,0.26984,0.40833,0.28612,0.69507,0.26984,0.39908,0.20685,1.422,2.51397,3.66792,1.71231,0.0019505,0.0019505,0.0019505
17,3769.81,1.0906,1.62106,0.83205,1.35713,0.21583,0.57143,0.35694,0.23615,0.9131,0.21429,0.31762,0.17131,1.52566,3.10287,3.91454,1.81977,0.0019472,0.0019472,0.0019472
18,3914.17,1.08311,1.60757,0.85228,1.36896,0.75197,0.64286,0.76316,0.51257,0.75197,0.64286,0.76102,0.41172,1.31641,2.42293,1.51377,1.65384,0.0019439,0.0019439,0.0019439
